slug,title,author,isbn,status,first_published,date_updated,notes
philosophical-investigations-2,Philosophical Investigations,Ludwig Wittgenstein,9781444307979,read,1958,,
philosophical-works,Philosophical Works,George Berkeley,0460873431,read,1993,,
philosophical-writings-of-peirce,Philosophical Writings of Peirce,Charles Sanders Peirce,0486202178,read,1955,,
philosophy-and-the-mirror-of-nature,Philosophy and the Mirror of Nature,Richard Rorty,0691141320,read,1979,,
philosophy-of-existence,Philosophy of Existence,Karl Jaspers,0812210107,read,1971,,
philosophy-of-right,Philosophy of Right,G.W.F. Hegel,9780486445632,read,1991,,
phineas-finn,Phineas Finn,Anthony Trollope,9781425092542,read,1949,,
phineas-redux,Phineas Redux,Anthony Trollope,,read,1874,,
phoebe-junior,"Phoebe, Junior",Margaret Oliphant,1297150139,read,2015,,
phule-s-company,Phule's Company,Robert Asprin,,read,,,
physics,Physics,Aristotle,,read,1472,,
piccadilly-jim,Piccadilly Jim,Pelham Grenville Wodehouse,9781442931671,read,2009,,
pierre-and-jean,Pierre and Jean,Guy de Maupassant,1518778720,read,2015,,
pimpernel-and-rosemary,Pimpernel and Rosemary,Baroness Orczy,9798598898376,read,2021,,
piranesi,Piranesi,Susanna Clarke,9781635575644,want,2020,,
planet-of-exile,Planet of Exile,Ursula K. Le Guin,,read,1966,,
player-of-games,Player of Games,Iain M. Banks,9780316095860,read,1988,,
player-piano,Player Piano,Kurt Vonnegut,0440170370,read,1952,,
po-mes-saturniens,Poèmes saturniens,Paul Verlaine,,read,1942,,
po-sies,Poésies,Stéphane Mallarmé,9780191516740,read,1926,,
poc-gtfo,PoC||GTFO,Manul Laphroaig,9781593278984,read,2017,,
poc-gtfo-volume-2,"PoC||GTFO, VOLUME 2",Manul Laphroaig,9781593279349,read,2018,,
poem-without-a-hero,Poem Without a Hero,Anna Akhmatova,,read,1970,,
poems,Poems,Catullus,9780520253865,read,1834,,
poems-2,Poems,Andrew Marvell,,read,1857,,
poems-and-fragments,Poems and Fragments,Sappho,,read,1915,,
poems-on-various-subjects-religious-and-moral,"Poems on Various Subjects, Religious and Moral",Phillis Wheatley,,read,1887,,
poet-in-new-york,Poet in New York,Federico García Lorca,9781555848651,read,1940,,
poetics,Poetics,Aristotle,0773516123,read,1536,,
point-counter-point,Point Counter Point,Aldous Huxley,,read,1928,,
pointed-roofs,Pointed Roofs,Dorothy Miller Richardson,9798550584682,read,2020,,
political-liberalism-2,Political Liberalism,John Rawls,0231130880,read,1993,,
political-order-and-political-decay,Political Order and Political Decay,Francis Fukuyama,9781429944328,want,2014,,
political-order-in-changing-societies,Political Order in Changing Societies,Samuel P. Huntington,,read,1968,,
political-theology,Political Theology,Carl Schmitt,9780226189352,read,1986,,
political-treatise,Political Treatise,Baruch Spinoza,9781316762158,read,2001,,
politics,Politics,Aristotle,9783986771386,read,2014,,
politics-and-the-english-language,Politics and the English Language,George Orwell,9781913724276,read,2021,,
politics-and-vision,Politics and Vision,Sheldon Wolin,9781400883530,read,1960,,
pollyanna,Pollyanna,Eleanor H. Porter,9781627937528,read,2013,,
pollyanna-grows-up,Pollyanna Grows Up,Eleanor H. Porter,9781447483687,read,2013,,
polynesian-mythology,Polynesian Mythology,Robert D. Craig,9781576078952,read,2004,,
poor-economics,Poor Economics,Esther Duflo and Abhijit V. Banerjee,9781586487980,read,2011,,
poor-folk,Poor Folk,Fyodor Dostoevsky,1843910233,want,2007,,
popol-vuh,Popol Vuh,Anonymous (Mayan),,read,,,
portnoys-complaint,Portnoy's Complaint,Philip Roth,,read,1969,,
post-office,Post Office,Charles Bukowski,,read,,,
posterior-analytics,Posterior Analytics,Aristotle,,read,1901,,
postwar,Postwar,Tony Judt,9781351352710,read,2005,,
power-and-prosperity,Power and Prosperity,Mancur Olson,0465051960,read,2000,,
powers-of-horror,Powers of Horror,Julia Kristeva,0231053479,read,1984,,
practical-binary-analysis-build-your-own-linux-tools-for-binary-instrumentation-analysis-and-disassembly,"Practical Binary Analysis: Build Your Own Linux Tools for Binary Instrumentation, Analysis, and Disassembly",Dennis Andriesse,9781593279134,read,2018,,
practical-cryptography,Practical Cryptography,Niels Ferguson and Bruce Schneier,0471223573,read,2003,,
practical-cyber-intelligence,Practical Cyber Intelligence,Wilson Bautista,9781788835244,read,2018,,
practical-ethics,Practical Ethics,Peter Singer,,read,1990,,
practical-forensic-imaging,Practical Forensic Imaging,Bruce Nikkel,9781593278007,read,2016,,
practical-game-ai-programming,Practical Game AI Programming,Micael DaGraca,9781787129467,read,2017,,
practical-iot-hacking-the-definitive-guide-to-attacking-the-internet-of-things,Practical IoT Hacking: The Definitive Guide to Attacking the Internet of Things,"Fotios Chantzis, Ioannis Stais, Paulino Calderon, Evangelos Deirmentzoglou, Beau Woods",9781718500914,read,2021,,
practical-machine-learning,Practical Machine Learning,"Ian H. Witten, Eibe Frank, Mark A. Hall, Christopher J. Pal, James Foulds",9780443158896,read,2025,,
practical-mobile-forensics-third-edition,Practical Mobile Forensics - Third Edition,Rohit Tamma. Oleg Skulkin. Satish Bommisetty,1788839196,read,2018,,
practical-mysticism,Practical Mysticism,Evelyn Underhill,1484099184,read,2013,,
practical-packet-analysis-3rd-edition,Practical Packet Analysis 3rd Edition,Chris Sanders,9781593278298,read,2017,,
practical-reverse-engineering,Practical Reverse Engineering,"Bruce Dang, Alexandre Gazet, Elias Bachaalany",9781118787397,read,2014,,
practical-unix-and-internet-security,Practical UNIX and Internet Security,Gene Spafford et al.,9780596003234,read,2003,,
pragmatism,Pragmatism,William James,9780486282701,read,1907,,
preface-to-shakespeare,Preface to Shakespeare,Samuel Johnson,,read,2004,,
prelude-to-foundation,Prelude to Foundation,Isaac Asimov,9780593159972,read,1988,,
prices-and-production,Prices and Production,Friedrich Hayek,,read,1931,,
pride-and-prejudice,Pride and Prejudice,Jane Austen,1521900833,read,1813,,
primary-target,Primary Target,Joshua Denyer,1911546902,read,2022,,
prince-caspian,Prince Caspian,C.S. Lewis,,want,2018,,
prince-otto,Prince Otto,Robert Louis Stevenson,,read,1901,,
principal-doctrines,Principal Doctrines,Epicurus,9781329869851,want,2016,,
principal-upanishads,Principal Upanishads,The Upanishads,,read,1952,,
principia-ethica,Principia Ethica,G.E. Moore,0760765464,want,2018,,
principia-mathematica,Principia Mathematica,Whitehead & Russell,,read,1910,,
principia-mathematica-2,Principia Mathematica,Bertrand Russell,9781139080644,read,1910,,
principles-of-mathematical-analysis,Principles of Mathematical Analysis,Walter Rudin,9780070542358,read,1953,,
principles-of-philosophy,Principles of Philosophy,René Descartes,9789400978881,want,2008,,
principles-of-political-economy,Principles of Political Economy,David Ricardo,9780353494725,read,1817,,
principles-of-psychology,Principles of Psychology,William James,9780674705555,read,1890,,
prior-analytics,Prior Analytics,Aristotle,9780191568954,read,1964,,
privacy-on-the-line,Privacy on the Line,Whitfield Diffie and Susan Landau,0262514001,want,2010,,
pro-git,Pro Git,"Scott Chacon, Ben Straub",9781484200766,read,2014,,
probabilistic-reasoning-in-intelligent-systems,Probabilistic Reasoning in Intelligent Systems,Judea Pearl,1558604790,read,1988,,
probability-theory,Probability Theory,William Feller,9789994311064,read,1950,,
problems-of-dostoevskys-poetics,Problems of Dostoevsky's Poetics,Mikhail Bakhtin,1452900124,read,1984,,
problems-of-philosophy,Problems of Philosophy,Bertrand Russell,9781625581976,read,1900,,
process-and-reality,Process and Reality,Alfred North Whitehead,9789995124809,read,1929,,
product-leadership,Product Leadership,"Richard Banfield, Martin Eriksson, Nate Walkingshaw",9781491960554,read,2017,,
program-development-in-java,Program Development in Java,Barbara Liskov,9780768684964,read,2000,,
programming-language-pragmatics,Programming Language Pragmatics,Michael Scott,9780080515168,read,1999,,
programming-pearls,Programming Pearls,Jon Bentley,0201657880,read,1999,,
programming-with-posix-threads,Programming with POSIX Threads,Butenhof,9780132702126,read,1993,,
progress-and-poverty,Progress and Poverty,Henry George,9781859982815,read,1898,,
project-hail-mary,Project Hail Mary,Andy Weir,9780593135211,read,2021,,
prolegomena-to-any-future-metaphysics,Prolegomena to Any Future Metaphysics,Immanuel Kant,9780672601873,read,2021,,
prometheus-bound,Prometheus Bound,Aeschylus,9781472502490,read,1559,,
prometheus-unbound,Prometheus Unbound,Percy Bysshe Shelley,9780815311508,read,1820,,
proofs-and-refutations,Proofs and Refutations,Imre Lakatos,0521290384,read,1976,,
propaganda,Propaganda,Edward Bernays,9781709527999,read,,,
proslogion,Proslogion,Anselm,9780813232751,read,1903,,
proslogion-2,Proslogion,Anselm of Canterbury,,read,1903,,
protagoras,Protagoras,Plato,9780862920258,read,1888,,
prototype-to-product,Prototype to Product,Alan Cohen,9781449362287,read,2015,,
provincial-letters,Provincial Letters,Blaise Pascal,9781721698783,read,1851,,
prufrock-and-other-observations,Prufrock and Other Observations,T.S. Eliot,9781665800037,read,1917,,
psmith-in-the-city,Psmith in the City,P. G. Wodehouse,1419243330,read,2004,,
psmith-journalist,"Psmith, Journalist",Pelham Grenville Wodehouse,9781442932579,read,1931,,
psychopolitics,Psychopolitics,Byung-Chul Han,9781784785796,want,2014,,
public-choice-ii,Public Choice II,James Buchanan & Gordon Tullock,0472080415,read,1984,,
pudd-nhead-wilson,Pudd'nhead Wilson,Mark Twain,9781580493383,read,2005,,
purgatorio,Purgatorio,Dante Alighieri,9780375708398,read,1768,,
purple-hibiscus,Purple Hibiscus,Chimamanda Ngozi Adichie,1565123875,read,2003,,
pushing-ice,Pushing Ice,Alastair Reynolds,9781101664070,read,2005,,
pygmalion,Pygmalion,George Bernard Shaw,1580493998,read,1912,,
qed,QED,Richard Feynman,9780691125756,read,1985,,
quarantine,Quarantine,Greg Egan,1597805386,read,1992,,
queen-of-the-damned,Queen of the Damned,Anne Rice,9780345351524,read,1988,,
queen-victoria,Queen Victoria,E. Gordon Browne,9781523821655,read,2022,,
quicksand,Quicksand,Nella Larsen,9780837115412,read,1928,,
quincas-borba,Quincas Borba,Machado de Assis,9781324090694,read,1899,,
quo-vadis,Quo Vadis,Henryk Sienkiewicz,0781807638,read,1999,,
r-in-a-nutshell,R in a Nutshell,"Adler, Joseph M.Eng",9781449312084,read,2010,,
r-u-r,R.U.R.,Karel Čapek,9781408400456,read,1920,,
rabelais-and-his-world,Rabelais and His World,Mikhail Bakhtin,0253203414,read,1968,,
race-matters,Race Matters,Cornel West,0807009725,read,1993,,
rachel-ray,Rachel Ray,Anthony Trollope,9785040564385,read,1944,,
ragged-dick,Ragged Dick,Horatio Alger (Jr.),9780020413905,read,1962,,
rainbows-end,Rainbows End,Vernor Vinge,9781429991896,read,2006,,
raja-yoga,Raja Yoga,Swami Vivekananda,9780911206234,read,1920,,
ralestone-luck,Ralestone Luck,Andre Norton,9781426494574,read,2022,,
ramayana,Ramayana,Valmiki,9781538113691,read,1823,,
rameaus-nephew,Rameau's Nephew,Denis Diderot,1013284763,read,1956,,
rapid-development,Rapid Development,Steve McConnell,9781556159008,read,1996,,
raven-stratagem,Raven Stratagem,Yoon Ha Lee,9781781085370,want,2017,,
reamde,Reamde,Neal Stephenson,9780857894182,read,2011,,
reason-truth-and-history,"Reason, Truth and History",Hilary Putnam,9781139935661,read,1981,,
reasons-and-persons-2,Reasons and Persons,Derek Parfit,9780198249085,read,1984,,
record-of-a-spaceborn-few,Record of a Spaceborn Few,Becky Chambers,9780062699237,want,2018,,
records-of-the-grand-historian,Records of the Grand Historian,Sima Qian,0231081685,read,1993,,
red-famine,Red Famine,Anne Applebaum,9780385538862,want,2017,,
red-harvest,Red Harvest,Dashiell Hammett,9780304345274,read,1929,,
red-mars,Red Mars,Kim Stanley Robinson,9780553898279,read,1992,,
red-seas-under-red-skies,Red Seas Under Red Skies,Scott Lynch,9780593976883,want,2007,,
red-sorghum,Red Sorghum,Mo Yan,9781101656952,read,1988,,
red-storm-rising,Red Storm Rising,Tom Clancy,9784167275730,read,,,
red-team-blues,Red Team Blues,Cory Doctorow,9781250865861,read,2023,,
refactoring,Refactoring,Martin Fowler,9780133065268,read,1999,,
reflections-in-a-golden-eye,Reflections in a Golden Eye,Carson McCullers,9780547524214,read,1941,,
reflections-on-the-revolution-in-france,Reflections on the Revolution in France,Edmund Burke,9798489011846,read,1790,,
release-it,Release It!,Michael Nygard,9781680504521,read,2012,,
religion-and-the-rise-of-capitalism,Religion and the Rise of Capitalism,Richard Henry Tawney,9780451605078,read,1926,,
religion-within-the-bounds-of-bare-reason,Religion within the Bounds of Bare Reason,Immanuel Kant,0521599644,want,2009,,
remarks-on-the-foundations-of-mathematics,Remarks on the Foundations of Mathematics,Ludwig Wittgenstein,9783111634555,read,1964,,
remembering-babylon,Remembering Babylon,David Malouf,9780679749516,read,1993,,
rendezvous-with-rama,Rendezvous with Rama,Arthur C. Clarke,0345350561,read,1973,,
repetition,Repetition,Søren Kierkegaard,069107237X,want,2007,,
representations-of-the-intellectual,Representations of the Intellectual,Edward Said,9780307829627,read,1994,,
representative-men,Representative Men,Ralph Waldo Emerson,9781465577504,read,,,
republic,Republic,Plato,052148443X,read,2013,,
requiem,Requiem,Anna Akhmatova,9781410356536,read,1991,,
residence-on-earth,Residence on Earth,Pablo Neruda,0811215814,read,2004,,
resurrection,Resurrection,Leo Tolstoy,9780486432168,want,2014,,
return-of-the-king,Return of the King,J.R.R. Tolkien,078625176X,read,1950,,
revelation-space,Revelation Space,Alastair Reynolds,0441009425,read,2000,,
revenant-gun,Revenant Gun,Yoon Ha Lee,9781786181107,want,2018,,
reveries-of-the-solitary-walker,Reveries of the Solitary Walker,Jean-Jacques Rousseau,9780191617676,read,1783,,
revolution-for-the-hell-of-it,Revolution for the Hell of It,Abbie Hoffman,9781560256908,read,1968,,
revolutionary-letters,Revolutionary Letters,Diane di Prima,9780867195507,read,1971,,
rhetoric,Rhetoric,Aristotle,9780486437934,read,1515,,
riceyman-steps,Riceyman Steps,Arnold Bennett,9781535536783,read,1923,,
richard-ii,Richard II,William Shakespeare,9781544613338,read,1597,,
richard-iii,Richard III,William Shakespeare,9783730994689,read,1597,,
rickshaw-boy,Rickshaw Boy,Lao She,9780062010643,read,1945,,
riddle-master,Riddle-Master,Patricia A. McKillip,9781101662151,read,1976,,
riders-of-the-purple-sage,Riders of the Purple Sage,Zane Grey,9780191605352,read,1998,,
rig-veda,Rig Veda,Various (Ancient India),,read,,,
right-ho-jeeves,"Right Ho, Jeeves",Pelham Grenville Wodehouse,9781465540768,read,,,
ringworld,Ringworld,Larry Niven,9781441760425,read,1970,,
ripley-under-ground,Ripley Under Ground,Patricia Highsmith,9780393344745,read,1970,,
riprap,Riprap,Gary Snyder,9781582436968,read,1959,,
rise-of-the-machines,Rise of the Machines,Thomas Rid,9780393286014,want,2016,,
river-of-gods,River of Gods,Ian McDonald,9781625673046,read,2004,,
roadmarks,Roadmarks,Roger Zelazny,9781515442011,read,1979,,
roads-to-freedom,Roads to Freedom,Bertrand Russell,9781986859400,read,1919,,
roadside-picnic,Roadside Picnic,Arkady and Boris Strugatsky,1613743416,want,2012,,
rob-roy,Rob Roy,Walter Scott,9781442939219,read,1817,,
robbery-under-arms,Robbery Under Arms,Thomas Alexander Browne,1511743832,read,2015,,
robert-ludlum-s-tm-the-bourne-dominion,Robert Ludlum's (TM) The Bourne Dominion,"Robert Ludlum, Eric Van Lustbader",9781609419165,read,2011,,
robinson-crusoe,Robinson Crusoe,Daniel Defoe,9781978442436,read,1686,,
robots-and-empire,Robots and Empire,Isaac Asimov,0246123672,read,1985,,
rocannons-world,Rocannon's World,Ursula K. Le Guin,9780441732944,read,1966,,
rogue-code,Rogue Code,Mark Russinovich,9781250035370,read,2014,,
romance-of-the-three-kingdoms,Romance of the Three Kingdoms,Luo Guanzhong,9780141197449,read,1644,,
romances-sans-paroles,Romances sans paroles,Paul Verlaine,9780485147124,read,1887,,
romeo-and-juliet,Romeo and Juliet,William Shakespeare,1973137704,read,1597,,
room-13,Room 13,Edgar Wallace,9798748109857,read,2022,,
rooms-are-never-finished,Rooms Are Never Finished,Agha Shahid Ali,0393041492,read,2001,,
rootkits-and-bootkits-reversing-modern-malware-and-next-generation-threats,Rootkits and Bootkits: Reversing Modern Malware and Next Generation Threats,"Alex Matrosov, Eugene Rodionov, Sergey Bratus",9781593277161,read,2019,,
roseanna,Roseanna,Maj Sjöwall and Per Wahlöö,0752856138,read,2004,,
rosencrantz-and-guildenstern-are-dead,Rosencrantz and Guildenstern Are Dead,Tom Stoppard,1531182895,read,1968,,
royal-assassin,Royal Assassin,Robin Hobb,9780553897494,want,2014,,
rudin,Rudin,Ivan Turgenev,9781465590114,read,1894,,
rules-for-the-direction-of-the-mind,Rules for the Direction of the Mind,René Descartes,9780672603341,read,1961,,
runaway,Runaway,Alice Munro,9781572704466,read,2004,,
running-a-thousand-miles-for-freedom,Running a Thousand Miles for Freedom,"William Craft, Ellen Craft",9781365768156,read,2017,,
russian-folktales,Russian Folktales,Aleksandr Afanas'ev,9780307829764,read,2013,,
s-z,S/Z,Roland Barthes,9780809083756,read,1970,,
sabbaths-theater,Sabbath's Theater,Philip Roth,9785367009033,read,1995,,
sabriel,Sabriel,Garth Nix,9780060575816,read,1995,,
sadhana,Sadhana,Rabindranath Tagore,9783752812572,read,1913,,
sailing-to-sarantium,Sailing to Sarantium,Guy Gavriel Kay,9781101462317,read,2002,,
saint-joan,Saint Joan,George Bernard Shaw,9791041996667,read,1924,,
salammb,Salammbô,Gustave Flaubert,9780460018692,read,1863,,
salem-chapel,Salem Chapel,Margaret Oliphant,9781105892868,read,2012,,
salems-lot,Salem's Lot,Stephen King,9780593470190,read,1975,,
salom,Salomé,Oscar Wilde,9782080706492,read,1893,,
salvage-the-bones,Salvage the Bones,Jesmyn Ward,9781608196265,want,2011,,
samarkand,Samarkand,Amin Maalouf,9780748131242,want,2012,,
samson-agonistes,Samson Agonistes,John Milton,9780415940511,read,1758,,
sanatorium-under-the-sign-of-the-hourglass,Sanatorium Under the Sign of the Hourglass,Bruno Schulz,9780330261821,read,1978,,
sanctuary,Sanctuary,William Faulkner,9780394747446,read,1931,,
sandman,Sandman,Neil Gaiman,9780811835923,read,2002,,
sandworm,Sandworm,Andy Greenberg,9780385544412,read,2019,,
sanine,Sanine,Mikhail Art︠s︡ybashev,9781099443367,read,1915,,
sanshir,Sanshirō,Natsume Sōseki,9781513288321,read,1977,,
sapiens,Sapiens,Yuval Noah Harari,1784873640,want,2011,,
sartor-resartus,Sartor Resartus,Thomas Carlyle,9780520209282,read,2000,,
satan-s-diary,Satan's Diary,Leonid Andreyev,9780344587580,read,2022,,
satantango,Satantango,László Krasznahorkai,9780811219563,read,1985,,
satires,Satires,Horace,9780521452205,read,2004,,
satyricon,Satyricon,Petronius,9783736407992,read,1575,,
savrola,Savrola,Winston Churchill,9781015454903,read,1899,,
scaramouche,Scaramouche,Rafael Sabatini,9798727733288,read,2021,,
scarhaven-keep,Scarhaven Keep,Joseph Smith Fletcher,9781977872319,read,1930,,
scarlet-sister-mary,Scarlet Sister Mary,Julia Peterkin,9780820319568,read,1928,,
schilds-ladder,Schild's Ladder,Greg Egan,9781922240064,read,2002,,
schismatrix,Schismatrix,Bruce Sterling,9781497688117,read,1985,,
school-stories,School Stories,School Stories,0552527386,read,1925,,
science-and-hypothesis,Science and Hypothesis,Henri Poincaré,9780486143484,want,2008,,
science-and-the-modern-world,Science and the Modern World,Alfred North Whitehead,9780829019711,read,1925,,
science-of-logic,Science of Logic,G.W.F. Hegel,9780075536550,want,2010,,
sciences-of-the-artificial,Sciences of the Artificial,Herbert Simon,9780262264495,read,1969,,
scope-and-closures,Scope and Closures,Kyle Simpson,9781449335564,read,2014,,
scoundrels-monsters-and-special-circumstances,"Scoundrels, Monsters, and Special Circumstances",Hachette Assorted Authors,9780316182485,read,2010,,
scrambles-amongst-the-alps-in-the-years-1860-69,Scrambles Amongst the Alps in the Years 1860–69,Whymper Edward,0243815433,read,1901,,
sea-of-fertility-tetralogy,Sea of Fertility tetralogy,Yukio Mishima,067182452X,read,1972,,
sea-of-poppies,Sea of Poppies,Amitav Ghosh,9781429930819,read,2005,,
sea-of-tranquility,Sea of Tranquility,Emily St. John Mandel,9780593321454,read,1999,,
season-of-migration-to-the-north,Season of Migration to the North,Tayeb Salih,9781590173022,read,1986,,
second-foundation,Second Foundation,Isaac Asimov,9780553900361,read,1953,,
second-thoughts,Second Thoughts,Michel Butor,9782869302280,read,1957,,
second-treatise-of-government,Second Treatise of Government,John Locke,9780343741105,read,1689,,
secondhand-time,Secondhand Time,Svetlana Alexievich,9789386228697,want,,,
secrets-and-lies,Secrets and Lies,Bruce Schneier,9781119092438,read,2000,,
security-engineering,Security Engineering,Ross Anderson,9781119642787,read,2001,,
seeing,Seeing,José Saramago,9780547544717,want,2007,,
seeing-like-a-state,Seeing Like a State,James C Scott,9798350032444,read,1998,,
seiobo-there-below,Seiobo There Below,László Krasznahorkai,9780811219679,want,2013,,
seize-the-day,Seize the Day,Saul Bellow,0142437611,read,1956,,
selected-haiku,Selected Haiku,Basho,9780307962003,want,2013,,
selected-papers-on-computer-science,Selected Papers on Computer Science,Donald E. Knuth,157586634X,read,1996,,
selected-poems,Selected Poems,Fernando Pessoa,9780802198518,read,1971,,
selected-poems-10,Selected Poems,Rumi,9780486153735,read,2001,,
selected-poems-11,Selected Poems,Seamus Heaney,9780582023062,read,1990,,
selected-poems-12,Selected Poems,W.B. Yeats,9780762807215,read,1962,,
selected-poems-13,Selected Poems,William Wordsworth,9781529029819,read,1889,,
selected-poems-14,Selected Poems,Czesław Miłosz,0880014555,read,1973,,
selected-poems-15,Selected Poems,Gwendolyn Brooks,9780060105365,read,1963,,
selected-poems-16,Selected Poems,Hafez,0738764167,want,2023,,
selected-poems-17,Selected Poems,Marina Tsvetaeva,9780525482833,read,1971,,
selected-poems-2,Selected Poems,"Alfred, Lord Tennyson",9780141912196,read,1890,,
selected-poems-3,Selected Poems,Anna Akhmatova,0099540878,read,1969,,
selected-poems-4,Selected Poems,Derek Walcott,043591197X,read,1964,,
selected-poems-5,Selected Poems,Du Fu,9780231502290,read,1974,,
selected-poems-6,Selected Poems,Langston Hughes,9780307949400,read,1957,,
selected-poems-7,Selected Poems,Li Bai,9780811223621,read,1998,,
selected-poems-8,Selected Poems,Osip Mandelstam,9781590170915,read,1977,,
selected-poems-9,Selected Poems,Rabindranath Tagore,0140183663,read,1985,,
selected-poems-and-tales,Selected Poems and Tales,Edgar Allan Poe,1371895430,read,1943,,
selected-poems-of-du-fu,Selected Poems of Du Fu,Du Fu,9787119028897,read,1985,,
selected-poems-of-li-bai,Selected Poems of Li Bai,Li Bai,7101066798,read,2009,,
selected-poetry-of-yehuda-amichai,Selected Poetry of Yehuda Amichai,Yehuda Amichai,9780520275836,read,1986,,
selected-political-speeches,Selected Political Speeches,Marcus Tullius Cicero,9780140442144,read,1989,,
selected-stories,Selected Stories,Anton Chekhov,9780553381009,read,1960,,
selected-stories-2,Selected Stories,Mavis Gallant,0747532516,read,1996,,
selected-writings,Selected Writings,Meister Eckhart,9780141904603,read,1994,,
selected-writings-on-computing,Selected Writings on Computing,Edsger W. Dijkstra,9781461256953,read,1982,,
selections-from-the-prison-notebooks,Selections from the Prison Notebooks,Antonio Gramsci,071780397X,read,1971,,
selections-from-the-talmud,Selections from the Talmud,The Talmud,9789652264763,read,1876,,
sense-and-sensibility,Sense and Sensibility,Jane Austen,9780582781078,read,1811,,
sentimental-education,Sentimental Education,Gustave Flaubert,9780318750613,want,2014,,
serious-cryptography,Serious Cryptography,Jean-Philippe Aumasson,9781718503854,read,2024,,
set-theory,Set Theory,Thomas Jech,9783540447610,read,1978,,
seven-against-thebes,Seven Against Thebes,Aeschylus,9781461184973,read,1812,,
seven-pillars-of-wisdom,Seven Pillars of Wisdom,Thomas E. Lawrence,1607960613,read,1935,,
seven-surrenders,Seven Surrenders,Ada Palmer,9781466858756,want,2017,,
seveneves,Seveneves,Neal Stephenson,0857897829,read,2015,,
sh-b-genz,Shōbōgenzō,Dōgen,9780861719341,read,1996,,
shadow-and-act,Shadow and Act,Ralph Ellison,9780679760009,read,1964,,
shahnameh,Shahnameh,Firdausi,9783986778163,read,1993,,
shahnameh-2,Shahnameh,Ferdowsi,9780143104933,read,1993,,
shalimar-the-clown,Shalimar the Clown,Salman Rushdie,9780812976984,read,1998,,
shards-of-honor,Shards of Honor,Lois McMaster Bujold,0671720872,read,1986,,
sharp-objects,Sharp Objects,Gillian Flynn,0297851535,want,2006,,
she,She,James Legge,9781425327613,read,1876,,
she-stoops-to-conquer,She Stoops to Conquer,Oliver Goldsmith,9781476601465,read,2013,,
shirley,Shirley,Charlotte Brontë,9781427020499,read,1800,,
shorts-from-scenes-from-private-life,Shorts from Scenes from Private Life,Honoré de Balzac,,read,2023,,
siddhartha,Siddhartha,Hermann Hesse,0811202925,read,1922,,
sign-of-the-unicorn,Sign of the Unicorn,Roger Zelazny,9782207250433,read,1975,,
signals-and-boundaries,Signals and Boundaries,John H. Holland,9780262304979,read,2012,,
silas-marner,Silas Marner,George Eliot,190491957X,read,1800,,
silence-of-the-sea,Silence of the Sea,Vercors,9780854966714,read,1942,,
silence-on-the-wire,Silence on the Wire,Michal Zalewski,9781593270469,read,2005,,
silent-spring,Silent Spring,Rachel Carson,9780449209387,read,1962,,
silicon-snake-oil,Silicon Snake Oil,Cliff Stoll,9780385419949,read,1995,,
simple-passion,Simple Passion,Annie Ernaux,9781609800918,read,1991,,
sing-unburied-sing,"Sing, Unburied, Sing",Jesmyn Ward,9786024021719,want,2017,,
singularity-sky,Singularity Sky,Charles Stross,9780441011797,read,2003,,
sinister-street,Sinister Street,Compton Mackenzie,9781502885777,read,1913,,
sir-percy-hits-back,Sir Percy Hits Back,Emmuska Orczy,9780755116676,read,2001,,
sirius,Sirius,Olaf Stapledon,9780575128637,read,1944,,
sister-carrie,Sister Carrie,Theodore Dreiser,9781627938822,read,2013,,
six-characters-in-search-of-an-author,Six Characters in Search of an Author,Luigi Pirandello,9781474279031,read,2015,,
six-degrees,Six Degrees,Duncan J. Watts,9780393325423,read,2003,,
six-walks-in-the-fictional-woods,Six Walks in the Fictional Woods,Umberto Eco,0674810503,want,2025,,
sixteen-ways-to-defend-a-walled-city,Sixteen Ways to Defend a Walled City,K.J. Parker,9780316270809,want,2019,,
skating-on-stilts,Skating on Stilts,Stewart Baker,0817911545,want,2010,,
slaughterhouse-five,Slaughterhouse-Five,Kurt Vonnegut,9780385333849,read,1968,,
sleepwalking-land,Sleepwalking Land,Mia Couto,9781770130517,want,2006,,
slouching-towards-bethlehem,Slouching Towards Bethlehem,Joan Didion,9780374531386,read,1968,,
small-gods,Small Gods,Terry Pratchett,9781473542679,read,1992,,
smoky-the-cowhorse,Smoky the Cowhorse,Will James,9780878424139,read,1926,,
snow,Snow,Orhan Pamuk,9780307700889,read,2002,,
snow-country,Snow Country,Yasunari Kawabata,9780307833624,read,1972,,
snow-crash,Snow Crash,Neal Stephenson,0739480235,read,1992,,
so-big,So Big,Edna Ferber,9780736606646,read,2022,,
social-contract,Social Contract,Jean-Jacques Rousseau,9788497942102,read,1913,,
sociobiology,Sociobiology,E.O. Wilson,9780674744172,read,2000,,
sodom-and-gomorrah,Sodom and Gomorrah,Marcel Proust,9780300189636,want,2023,,
software-security,Software Security,McGraw,9780321356703,read,2001,,
solaris-2,Solaris,Stanisław Lem,0156027607,read,1961,,
soldier-of-the-mist,Soldier of the Mist,Gene Wolfe,9781466828513,read,1986,,
soldiers-pay,Soldiers' Pay,Victor Sawdon Pritchett,,read,1951,,
solomon-gursky-was-here,Solomon Gursky Was Here,Mordecai Richler,9780140152982,read,1989,,
some-do-not,Some Do Not …,Ford Madox Ford,9788728410455,read,2023,,
some-prefer-nettles,Some Prefer Nettles,Jun'ichirō Tanizaki,0399505210,read,1958,,
