Category,Title,Author,Priority
Computer Science,The Psychology of Computer Programming,Gerald Weinberg,2
Computer Science,More Programming Pearls,Jon Louis Bentley,2
Computer Science,Extreme Programming Explained,Kent Beck,2
Computer Science,Test-Driven Development by Example,Kent Beck,2
Computer Science,LaTeX: A Document Preparation System,Leslie Lamport,2
Computer Science,Specifying Systems,Leslie Lamport,2
Computer Science,How to Design Programs,Matthias Felleisen et al.,2
Computer Science,Release It!,Michael Nygard,2
Computer Science,Algorithms + Data Structures = Programs,Niklaus Wirth,2
Computer Science,Notes on Programming in C,Rob Pike,2
Computer Science,"Unix Style, or cat -v Considered Harmful",Rob Pike,2
Computer Science,Clean Architecture,Robert C. Martin,2
Computer Science,Clean Code,Robert C. Martin,2
Computer Science,Algorithms,Robert Sedgewick and Kevin Wayne,2
Computer Science,Effective C++,Scott Meyers,2
Computer Science,Effective Modern C++,Scott Meyers,2
Computer Science,More Effective C++,Scott Meyers,2
Computer Science,Algorithms Unlocked,Thomas H. Cormen,2
Computer Science,Data Abstraction and Hierarchy,Barbara Liskov,3
Computer Science,Program Development in Java,Barbara Liskov,3
Computer Science,Functional Differential Geometry,Gerald Jay Sussman and Jack Wisdom,3
Computer Science,Head First Design Patterns,Kathy Sierra and Bert Bates,3
Computer Science,Game Programming in C++,Sanjay Madhav,3
Contemporary Speculative Fiction,Too Like the Lightning,Ada Palmer,1
Contemporary Speculative Fiction,Children of Ruin,Adrian Tchaikovsky,1
Contemporary Speculative Fiction,Children of Time,Adrian Tchaikovsky,1
Contemporary Speculative Fiction,Ancillary Justice,Ann Leckie,1
Contemporary Speculative Fiction,Ancillary Mercy,Ann Leckie,1
Contemporary Speculative Fiction,Ancillary Sword,Ann Leckie,1
Contemporary Speculative Fiction,A Desolation Called Peace,Arkady Martine,1
Contemporary Speculative Fiction,A Memory Called Empire,Arkady Martine,1
Contemporary Speculative Fiction,A Closed and Common Orbit,Becky Chambers,1
Contemporary Speculative Fiction,The Long Way to a Small Angry Planet,Becky Chambers,1
Contemporary Speculative Fiction,Embassytown,China Miéville,1
Contemporary Speculative Fiction,Perdido Street Station,China Miéville,1
Contemporary Speculative Fiction,The City & The City,China Miéville,1
Contemporary Speculative Fiction,The Scar,China Miéville,1
Contemporary Speculative Fiction,Diaspora,Greg Egan,1
Contemporary Speculative Fiction,Permutation City,Greg Egan,1
Contemporary Speculative Fiction,The Fifth Season,N. K. Jemisin,1
Contemporary Speculative Fiction,The Obelisk Gate,N. K. Jemisin,1
Contemporary Speculative Fiction,The Stone Sky,N. K. Jemisin,1
Contemporary Speculative Fiction,Anathem,Neal Stephenson,1
Contemporary Speculative Fiction,Blindsight,Peter Watts,1
Contemporary Speculative Fiction,Exhalation,Ted Chiang,1
Contemporary Speculative Fiction,Stories of Your Life and Others,Ted Chiang,1
Cybernetics,Cybernetics,Norbert Wiener,1
Cybernetics,Brain of the Firm,Stafford Beer,1
Decision Theory,Antifragile,Taleb,1
Decision Theory,Black Swan,Taleb,1
Drama,Agamemnon,Aeschylus,1
Drama,Oresteia,Aeschylus,1
Drama,The Eumenides,Aeschylus,1
Drama,The Libation Bearers,Aeschylus,1
Drama,Ivanov,Anton Chekhov,1
Drama,The Cherry Orchard,Anton Chekhov,1
Drama,Uncle Vanya,Anton Chekhov,1
Drama,Lysistrata,Aristophanes,1
Drama,The Frogs,Aristophanes,1
Drama,A View from the Bridge,Arthur Miller,1
Drama,All My Sons,Arthur Miller,1
Drama,Death of a Salesman,Arthur Miller,1
Drama,The Crucible,Arthur Miller,1
Drama,A Dream Play,August Strindberg,1
Drama,Miss Julie,August Strindberg,1
Drama,The Father,August Strindberg,1
Drama,Fences,August Wilson,1
Drama,Joe Turner's Come and Gone,August Wilson,1
Drama,Ma Rainey's Black Bottom,August Wilson,1
Drama,The Piano Lesson,August Wilson,1
Drama,Life of Galileo,Bertolt Brecht,1
Drama,Mother Courage and Her Children,Bertolt Brecht,1
Drama,The Caucasian Chalk Circle,Bertolt Brecht,1
Drama,The Good Person of Szechwan,Bertolt Brecht,1
Drama,The Threepenny Opera,Bertolt Brecht,1
Drama,Long Day's Journey into Night,Eugene O'Neill,1
Drama,Mourning Becomes Electra,Eugene O'Neill,1
Drama,The Iceman Cometh,Eugene O'Neill,1
Drama,Medea,Euripides,1
Drama,The Bacchae,Euripides,1
Drama,Heartbreak House,George Bernard Shaw,1
Drama,Major Barbara,George Bernard Shaw,1
Drama,Man and Superman,George Bernard Shaw,1
Drama,Pygmalion,George Bernard Shaw,1
Drama,Saint Joan,George Bernard Shaw,1
Drama,A Doll's House,Henrik Ibsen,1
Drama,Hedda Gabler,Henrik Ibsen,1
Drama,A Raisin in the Sun,Lorraine Hansberry,1
Drama,An Ideal Husband,Oscar Wilde,1
Drama,Lady Windermere's Fan,Oscar Wilde,1
Drama,Salomé,Oscar Wilde,1
Drama,The Importance of Being Earnest,Oscar Wilde,1
Drama,Endgame,Samuel Beckett,1
Drama,Krapp's Last Tape,Samuel Beckett,1
Drama,Molloy,Samuel Beckett,1
Drama,Waiting for Godot,Samuel Beckett,1
Drama,Antigone,Sophocles,1
Drama,Oedipus Rex,Sophocles,1
Drama,Oedipus at Colonus,Sophocles,1
Drama,A Streetcar Named Desire,Tennessee Williams,1
Drama,Cat on a Hot Tin Roof,Tennessee Williams,1
Drama,Orpheus Descending,Tennessee Williams,1
Drama,The Glass Menagerie,Tennessee Williams,1
Drama,Angels in America,Tony Kushner,1
Drama,A Midsummer Night's Dream,William Shakespeare,1
Drama,All's Well That Ends Well,William Shakespeare,1
Drama,Antony and Cleopatra,William Shakespeare,1
Drama,As You Like It,William Shakespeare,1
Drama,Coriolanus,William Shakespeare,1
Drama,Cymbeline,William Shakespeare,1
Drama,Hamlet,William Shakespeare,1
Drama,"Henry IV, Part 1",William Shakespeare,1
Drama,"Henry IV, Part 2",William Shakespeare,1
Drama,Henry V,William Shakespeare,1
Drama,Julius Caesar,William Shakespeare,1
Drama,King Lear,William Shakespeare,1
Drama,Macbeth,William Shakespeare,1
Drama,Measure for Measure,William Shakespeare,1
Drama,Much Ado About Nothing,William Shakespeare,1
Drama,Othello,William Shakespeare,1
Drama,Pericles,William Shakespeare,1
Drama,Richard II,William Shakespeare,1
Drama,Richard III,William Shakespeare,1
Drama,Romeo and Juliet,William Shakespeare,1
Drama,The Comedy of Errors,William Shakespeare,1
Drama,The Merchant of Venice,William Shakespeare,1
Drama,The Taming of the Shrew,William Shakespeare,1
Drama,The Tempest,William Shakespeare,1
Drama,The Winter's Tale,William Shakespeare,1
Drama,Timon of Athens,William Shakespeare,1
Drama,Titus Andronicus,William Shakespeare,1
Drama,Twelfth Night,William Shakespeare,1
Drama,Dutchman,Amiri Baraka,2
Drama,The Flick,Annie Baker,2
Drama,The Theater and Its Double,Antonin Artaud,2
Drama,The Rover,Aphra Behn,2
Drama,Cloud Nine,Caryl Churchill,2
Drama,Top Girls,Caryl Churchill,2
Drama,Betrayal,Harold Pinter,2
Drama,The Birthday Party,Harold Pinter,2
Drama,The Homecoming,Harold Pinter,2
Drama,Antigone,Jean Anouilh,2
Drama,The Balcony,Jean Genet,2
Drama,The Maids,Jean Genet,2
Drama,Henry IV,Luigi Pirandello,2
Drama,Six Characters in Search of an Author,Luigi Pirandello,2
Drama,for colored girls who have considered suicide / when the rainbow is enuf,Ntozake Shange,2
Drama,Blasted,Sarah Kane,2
Drama,Crave,Sarah Kane,2
Drama,Topdog/Underdog,Suzan-Lori Parks,2
Drama,Arcadia,Tom Stoppard,2
Drama,Rosencrantz and Guildenstern Are Dead,Tom Stoppard,2
Economics,Why Nations Fail,Acemoglu & Robinson,1
Economics,The Theory of Moral Sentiments,Adam Smith,1
Economics,The Wealth of Nations,Adam Smith,1
Economics,Collective Choice and Social Welfare,Amartya Sen,1
Economics,Development as Freedom,Amartya Sen,1
Economics,The Idea of Justice,Amartya Sen,1
Economics,The Calculus of Consent,Buchanan & Tullock,1
Economics,"Thinking, Fast and Slow",Daniel Kahneman,1
Economics,The Narrow Corridor,Daron Acemoglu and James A. Robinson,1
Economics,Why Nations Fail,Daron Acemoglu and James A. Robinson,1
Economics,Debt: The First 5000 Years,David Graeber,1
Economics,On the Principles of Political Economy and Taxation,David Ricardo,1
Economics,Prices and Production,Friedrich Hayek,1
Economics,The Road to Serfdom,Friedrich Hayek,1
Economics,Public Choice II,James Buchanan & Gordon Tullock,1
Economics,General Theory of Employment Interest and Money,John Maynard Keynes,1
Economics,The Economic Consequences of the Peace,John Maynard Keynes,1
Economics,"The General Theory of Employment, Interest and Money",John Maynard Keynes,1
Economics,Capitalism Socialism and Democracy,Joseph Schumpeter,1
Economics,The Price of Inequality,Joseph Stiglitz,1
Economics,Capital Vol 1,Karl Marx,1
Economics,The Great Transformation,Karl Polanyi,1
Economics,Human Action,Ludwig von Mises,1
Economics,The Logic of Collective Action,Mancur Olson,1
Economics,A Monetary History of the United States,Milton Friedman,1
Economics,Capitalism and Freedom,Milton Friedman,1
Economics,Free to Choose,Milton Friedman,1
Economics,Man Economy and State,Murray Rothbard,1
Economics,The Ascent of Money,Niall Ferguson,1
Economics,Nudge,Richard H. Thaler and Cass R. Sunstein,1
Economics,Misbehaving,Richard Thaler,1
Economics,Nudge,Thaler & Sunstein,1
Economics,An Essay on the Principle of Population,Thomas Malthus,1
Economics,A Brief History of Equality,Thomas Piketty,1
Economics,Capital in the Twenty‑First Century,Thomas Piketty,1
Economics,The Theory of the Leisure Class,Thorstein Veblen,1
Economics,Principles of Political Economy,David Ricardo,2
Economics,Bourgeois Dignity,Deirdre McCloskey,2
Economics,The Rhetoric of Economics,Deirdre McCloskey,2
Economics,Good Economics for Hard Times,Esther Duflo and Abhijit V. Banerjee,2
Economics,Poor Economics,Esther Duflo and Abhijit V. Banerjee,2
Economics,The Constitution of Liberty,Friedrich Hayek,2
Economics,23 Things They Don't Tell You About Capitalism,Ha-Joon Chang,2
Economics,Kicking Away the Ladder,Ha-Joon Chang,2
Economics,Stabilizing an Unstable Economy,Hyman Minsky,2
Economics,The Economics of Imperfect Competition,Joan Robinson,2
Economics,The Affluent Society,John Kenneth Galbraith,2
Economics,The New Industrial State,John Kenneth Galbraith,2
Economics,Basic Economics,Thomas Sowell,2
Economics,Knowledge and Decisions,Thomas Sowell,2
Essays,An Experiment in Criticism,C.S. Lewis,1
Essays,The Abolition of Man,C.S. Lewis,1
Essays,Down and Out in Paris and London,George Orwell,1
Essays,Essays,George Orwell,1
Essays,Homage to Catalonia,George Orwell,1
Essays,Civil Disobedience,Henry David Thoreau,1
Essays,Walden,Henry David Thoreau,1
Essays,Nobody Knows My Name,James Baldwin,1
Essays,Notes of a Native Son,James Baldwin,1
Essays,Slouching Towards Bethlehem,Joan Didion,1
Essays,The White Album,Joan Didion,1
Essays,The Year of Magical Thinking,Joan Didion,1
Essays,Essays and Lectures,Ralph Waldo Emerson,1
Essays,Nature,Ralph Waldo Emerson,1
Essays,The Common Reader,Virginia Woolf,1
Essays,Arguably,Christopher Hitchens,2
Essays,Letters to a Young Contrarian,Christopher Hitchens,2
Essays,Why Orwell Matters,Christopher Hitchens,2
Essays,A Field Guide to Getting Lost,Rebecca Solnit,2
Essays,Men Explain Things to Me,Rebecca Solnit,2
Essays,Wanderlust,Rebecca Solnit,2
Essays,Between the World and Me,Ta-Nehisi Coates,2
Fantasy,Prince Caspian,C.S. Lewis,1
Fantasy,The Horse and His Boy,C.S. Lewis,1
Fantasy,The Last Battle,C.S. Lewis,1
Fantasy,"The Lion, the Witch and the Wardrobe",C.S. Lewis,1
Fantasy,The Magician's Nephew,C.S. Lewis,1
Fantasy,The Screwtape Letters,C.S. Lewis,1
Fantasy,The Silver Chair,C.S. Lewis,1
Fantasy,The Voyage of the Dawn Treader,C.S. Lewis,1
Fantasy,Till We Have Faces,C.S. Lewis,1
Fantasy,Book of the New Sun,Gene Wolfe,1
Fantasy,A Clash of Kings,George R.R. Martin,1
Fantasy,A Dance with Dragons,George R.R. Martin,1
Fantasy,A Feast for Crows,George R.R. Martin,1
Fantasy,A Game of Thrones,George R.R. Martin,1
Fantasy,A Storm of Swords,George R.R. Martin,1
Fantasy,Fevre Dream,George R.R. Martin,1
Fantasy,Beren and Lúthien,J.R.R. Tolkien,1
Fantasy,Farmer Giles of Ham,J.R.R. Tolkien,1
Fantasy,The Children of Húrin,J.R.R. Tolkien,1
Fantasy,The Fall of Gondolin,J.R.R. Tolkien,1
Fantasy,The Fellowship of the Ring,J.R.R. Tolkien,1
Fantasy,The Hobbit,J.R.R. Tolkien,1
Fantasy,The Return of the King,J.R.R. Tolkien,1
Fantasy,The Silmarillion,J.R.R. Tolkien,1
Fantasy,The Two Towers,J.R.R. Tolkien,1
Fantasy,Unfinished Tales,J.R.R. Tolkien,1
Fantasy,Wizard of Earthsea,Le Guin,1
Fantasy,The Gods of Pegāna,Lord Dunsany,1
Fantasy,The King of Elfland's Daughter,Lord Dunsany,1
Fantasy,Time and the Gods,Lord Dunsany,1
Fantasy,Gormenghast,Mervyn Peake,1
Fantasy,Titus Alone,Mervyn Peake,1
Fantasy,Titus Groan,Mervyn Peake,1
Fantasy,Elric of Melniboné,Michael Moorcock,1
Fantasy,Gloriana,Michael Moorcock,1
Fantasy,Stormbringer,Michael Moorcock,1
Fantasy,The Eternal Champion,Michael Moorcock,1
Fantasy,The Sailor on the Seas of Fate,Michael Moorcock,1
Fantasy,The Master and Margarita,Mikhail Bulgakov,1
Fantasy,The Hundred Thousand Kingdoms,N.K. Jemisin,1
Fantasy,American Gods,Neil Gaiman,1
Fantasy,Neverwhere,Neil Gaiman,1
Fantasy,Sandman,Neil Gaiman,1
Fantasy,Stardust,Neil Gaiman,1
Fantasy,The Ocean at the End of the Lane,Neil Gaiman,1
Fantasy,Gormenghast,Peake,1
Fantasy,Northern Lights,Philip Pullman,1
Fantasy,The Amber Spyglass,Philip Pullman,1
Fantasy,The Subtle Knife,Philip Pullman,1
Fantasy,The Bloody Crown of Conan,Robert E. Howard,1
Fantasy,The Coming of Conan the Cimmerian,Robert E. Howard,1
Fantasy,The Conquering Sword of Conan,Robert E. Howard,1
Fantasy,Nine Princes in Amber,Roger Zelazny,1
Fantasy,Sign of the Unicorn,Roger Zelazny,1
Fantasy,The Courts of Chaos,Roger Zelazny,1
Fantasy,The Guns of Avalon,Roger Zelazny,1
Fantasy,The Hand of Oberon,Roger Zelazny,1
Fantasy,Jonathan Strange & Mr Norrell,Susanna Clarke,1
Fantasy,Piranesi,Susanna Clarke,1
Fantasy,The Once and Future King,T.H. White,1
Fantasy,The Sword in the Stone,T.H. White,1
Fantasy,Going Postal,Terry Pratchett,1
Fantasy,Guards! Guards!,Terry Pratchett,1
Fantasy,Monstrous Regiment,Terry Pratchett,1
Fantasy,Mort,Terry Pratchett,1
Fantasy,Night Watch,Terry Pratchett,1
Fantasy,Small Gods,Terry Pratchett,1
Fantasy,The Colour of Magic,Terry Pratchett,1
Fantasy,Thud!,Terry Pratchett,1
Fantasy,Fellowship of the Ring,Tolkien,1
Fantasy,Hobbit,Tolkien,1
Fantasy,Return of the King,Tolkien,1
Fantasy,Two Towers,Tolkien,1
Fantasy,A Wizard of Earthsea,Ursula K. Le Guin,1
Fantasy,Tales from Earthsea,Ursula K. Le Guin,1
Fantasy,Tehanu,Ursula K. Le Guin,1
Fantasy,The Farthest Shore,Ursula K. Le Guin,1
Fantasy,The Other Wind,Ursula K. Le Guin,1
Fantasy,The Tombs of Atuan,Ursula K. Le Guin,1
Fantasy,Mistborn,Brandon Sanderson,2
Fantasy,Oathbringer,Brandon Sanderson,2
Fantasy,The Hero of Ages,Brandon Sanderson,2
Fantasy,The Way of Kings,Brandon Sanderson,2
Fantasy,The Well of Ascension,Brandon Sanderson,2
Fantasy,Words of Radiance,Brandon Sanderson,2
Fantasy,Dogsbody,Diana Wynne Jones,2
Fantasy,Fire and Hemlock,Diana Wynne Jones,2
Fantasy,Howl's Moving Castle,Diana Wynne Jones,2
Fantasy,Mistress of Mistresses,E.R. Eddison,2
Fantasy,The Worm Ouroboros,E.R. Eddison,2
Fantasy,Jade City,Fonda Lee,2
Fantasy,Jade Legacy,Fonda Lee,2
Fantasy,Jade War,Fonda Lee,2
Fantasy,Abhorsen,Garth Nix,2
Fantasy,Lirael,Garth Nix,2
Fantasy,Sabriel,Garth Nix,2
Fantasy,Soldier of the Mist,Gene Wolfe,2
Fantasy,The Wizard Knight,Gene Wolfe,2
Fantasy,Lord of Emperors,Guy Gavriel Kay,2
Fantasy,Sailing to Sarantium,Guy Gavriel Kay,2
Fantasy,The Lions of Al-Rassan,Guy Gavriel Kay,2
Fantasy,Tigana,Guy Gavriel Kay,2
Fantasy,Under Heaven,Guy Gavriel Kay,2
Fantasy,Lud-in-the-Mist,Hope Mirrlees,2
Fantasy,Before They Are Hanged,Joe Abercrombie,2
Fantasy,Best Served Cold,Joe Abercrombie,2
Fantasy,Last Argument of Kings,Joe Abercrombie,2
Fantasy,The Blade Itself,Joe Abercrombie,2
Fantasy,The Heroes,Joe Abercrombie,2
Fantasy,Sixteen Ways to Defend a Walled City,K.J. Parker,2
Fantasy,The Goblin Emperor,Katherine Addison,2
Fantasy,The Bear and the Nightingale,Katherine Arden,2
Fantasy,The Girl in the Tower,Katherine Arden,2
Fantasy,The Winter of the Witch,Katherine Arden,2
Fantasy,The Magician King,Lev Grossman,2
Fantasy,The Magician's Land,Lev Grossman,2
Fantasy,The Magicians,Lev Grossman,2
Fantasy,Paladin of Souls,Lois McMaster Bujold,2
Fantasy,The Charwoman's Shadow,Lord Dunsany,2
Fantasy,Circe,Madeline Miller,2
Fantasy,The Song of Achilles,Madeline Miller,2
Fantasy,"Black Leopard, Red Wolf",Marlon James,2
Fantasy,"Moon Witch, Spider King",Marlon James,2
Fantasy,The King of Attolia,Megan Whalen Turner,2
Fantasy,The Queen of Attolia,Megan Whalen Turner,2
Fantasy,The Thief,Megan Whalen Turner,2
Fantasy,A Deadly Education,Naomi Novik,2
Fantasy,Spinning Silver,Naomi Novik,2
Fantasy,Uprooted,Naomi Novik,2
Fantasy,Ombria in Shadow,Patricia A. McKillip,2
Fantasy,Riddle-Master,Patricia A. McKillip,2
Fantasy,Song for the Basilisk,Patricia A. McKillip,2
